ID	t24h	t30h	t36h	t48h	t72h
SAM23877_RS16990	14.18410049	13.90886168	14.37259303	15.02838094	14.67065625
SAM23877_RS16995	9.592457037	9.890264277	9.884170519	9.344295908	9.535275377
SAM23877_RS17000	12.28973074	11.90726625	10.98726401	11.66044165	12.24406646
SAM23877_RS17010	12.4152136	12.13217838	12.54978467	10.84077792	12.82972274
SAM23877_RS17015	13.71992353	12.95637616	13.23810614	12.39633719	14.16537811
SAM23877_RS17045	12.99594377	9.929258409	12.94251451	12.8419574	11.07414146
SAM23877_RS17050	11.86418614	8.614709844	11.7968508	11.67330908	9.428360173
SAM23877_RS17055	11.25738784	8.388017285	11.53138146	10.8153833	11.57742883
SAM23877_RS17060	10.50878516	9.74819285	10.68999797	10.45018025	12.33455263
SAM23877_RS17100	11.96542357	10.71681946	12.41018632	12.08048446	10.13570929
SAM23877_RS17255	11.55506839	10.98085361	10.00702727	9.240791332	6.554588852
SAM23877_RS17265	12.37639675	11.29059489	10.95855272	10.72621816	10.08746284
SAM23877_RS17280	7.936637939	8.011227255	8.317412614	8.471675214	4.906890596
SAM23877_RS17430	7.851749041	8.118941073	7.942514505	12.06507949	10.09803208
SAM23877_RS17485	9.987264012	9.529430554	8.832890014	8.016808288	8.339850003
SAM23877_RS17495	11.78299821	10.48582931	10.04984855	9.390168956	8.285402219
SAM23877_RS17515	12.56938096	12.40700215	11.53527538	11.53381639	12.36686859
SAM23877_RS17555	10.84313591	10.15355203	10.14082977	9.948367232	10.10328781
SAM23877_RS17560	13.49772712	12.25089054	12.1589252	11.95128471	11.44604941
SAM23877_RS17565	11.79279029	11.23840474	10.73809226	9.93516505	10.509775
SAM23877_RS17570	8.204571144	8.810571635	8.515699838	12.83110928	9.285402219
SAM23877_RS17575	7.768184325	8.038918989	7.894817763	12.57530288	10.80574387
SAM23877_RS17580	7.294620749	7.622051819	7.426264755	12.39606956	9.882643049
SAM23877_RS17585	8.988684687	9.11113567	9.129283017	13.5389164	11.82017896
SAM23877_RS17610	10.60640521	9.366322214	11.34540525	9.73978061	8.599912842
SAM23877_RS17630	9.544964433	10.357552	8.810571635	10.68999797	12.00211178
SAM23877_RS17645	11.14911199	10.52356196	10.95710204	10.39446269	9.204571144
SAM23877_RS17650	6.375039431	5.614709844	5.321928095	5.882643049	6.700439718
SAM23877_RS17670	9.426264755	9.353146825	9.315149562	11.53284291	10.56985561
SAM23877_RS17760	8.707359132	8.164906927	8.139551352	8.611024797	8.577428828
SAM23877_RS17765	15.04148804	13.52625469	12.41468524	12.6343573	11.09275714
SAM23877_RS17770	14.30113891	12.64745843	11.51914479	12.04268537	12.26766454
SAM23877_RS17780	15.69916574	14.07288625	12.91849059	13.23302043	15.60649197
SAM23877_RS17785	7.321928095	7.330916878	8.375039431	9.882643049	9.923327485
SAM23877_RS17790	12.12896095	11.58730873	11.17990909	11.03479896	11.01680829
SAM23877_RS17795	11.28771238	10.85720347	10.42416629	10.45018025	9.405141463
SAM23877_RS17800	10.70217269	10.37395266	9.828136484	9.465566405	9.189824559
SAM23877_RS17810	12.43280286	11.46862404	9.357552005	10.59339112	10.84549005
SAM23877_RS17815	14.0513789	13.65608963	11.41256985	13.39687232	10.38694025
SAM23877_RS17830	11.79725622	10.8917837	9.618385502	9.368506462	9.936637939
SAM23877_RS17860	11.5372184	10.89026428	10.88111396	11.3885555	12.27058734
SAM23877_RS17870	8.672425342	8.276124405	8.845490051	8.636624621	10.21916852
SAM23877_RS17875	11.74903138	10.95274125	10.89481776	11.63753055	11.05663772
SAM23877_RS17880	11.82575383	10.73216743	10.68211676	11.38694025	11.49135207
SAM23877_RS17885	10.52845411	9.951284715	9.461479447	9.396604781	9.605479518
SAM23877_RS17890	12.15766273	12.11926538	11.35093918	10.77643303	10.39016896
SAM23877_RS17895	13.53903761	12.78586111	12.10000522	12.38667086	13.96668569
SAM23877_RS17920	13.27554256	12.60060985	12.60269887	12.66333572	12.10656294
SAM23877_RS17930	11.06474276	10.52552081	9.471675214	9.509775004	8.927777962
SAM23877_RS17940	13.03720374	11.99682653	11.56414949	12.78299821	13.58320032
SAM23877_RS17945	13.3659123	12.64678369	12.09803208	12.72664392	14.1376316
SAM23877_RS18030	11.77725532	11.44035012	12.088457	11.71381608	10.56795608
SAM23877_RS18035	10.83683936	10.6635581	10.56985561	9.335390355	10.52160044
SAM23877_RS18040	11.0768156	11.48280796	11.36686859	10.29001885	10.2632692
SAM23877_RS18050	10.91214086	10.26795708	10.30606169	9.71596199	11.74525414
SAM23877_RS18060	12.03376711	11.49335512	11.22520744	10.75905594	11.91251514
SAM23877_RS18075	11.64700864	10.83605036	10.12153352	9.703903573	11.77725532
SAM23877_RS18105	12.15165083	12.86534664	12.37558251	9.744833837	9.523561956
SAM23877_RS18135	8.721099189	9.994353437	7.900866808	7.108524457	6.882643049
SAM23877_RS18145	6.768184325	9.672425342	6.491853096	6.06608919	7.592457037
SAM23877_RS18150	9.529430554	11.26678654	10.34651373	10.04984855	10.46964182
SAM23877_RS18185	10.62388149	10.9794252	11.22098285	10.80735492	10.78135971
SAM23877_RS18200	12.31118066	12.70520038	12.79725622	12.02721489	12.62044895
SAM23877_RS18260	7.851749041	8.154818109	8.434628228	10.06339508	11.52110964
SAM23877_RS18265	9.705632387	8.965784285	9.810571635	10.31854281	8.266786541
SAM23877_RS18290	10.17242751	9.385862401	8.727920455	8.693486957	6.857980995
SAM23877_RS18295	9.978710459	8.573647187	8.224001674	9.45532722	10.69957245
SAM23877_RS18305	7.515699838	6.882643049	6.491853096	7.50779464	7
SAM23877_RS18320	13.91101741	12.63072216	11.85096815	12.02097994	11.79563384
SAM23877_RS18735	14.277578	13.72579227	14.03213185	14.58695704	15.26704268
SAM23877_RS18740	11.97297979	11.61148594	11.84705735	12.0454184	13.57352885
SAM23877_RS18750	10.89860139	11.32867493	11.06339508	10.74651432	11.36029843
SAM23877_RS18805	11.79725622	11.92592526	11.4314976	10.857981	12.20823436
SAM23877_RS18815	14.07137856	13.19921223	12.89045429	13.00422047	13.65172443
SAM23877_RS18825	7.392317423	7.531381461	5.044394119	7.787902559	8.076815597
SAM23877_RS18840	9.607330314	9.019590728	8.807354922	8.426264755	7.592457037
SAM23877_RS18845	11.13506795	11.10263189	10.37503943	8.651051691	10.00982862
SAM23877_RS18850	13.55374927	12.99116751	13.63424384	13.87900881	13.6340169
SAM23877_RS18865	9.544964433	8.900866808	9.426264755	10.54303182	7.339850003
SAM23877_RS18870	8.581200582	9.103287808	9.405141463	9.575539247	8.169925001
SAM23877_RS18940	13.51199967	12.40221267	12.75133484	11.97118427	13.22550872
SAM23877_RS18965	9.495855027	8.707359132	8.491853096	9.074141463	8.562242424
SAM23877_RS18970	7.375039431	5.930737338	4.754887502	4.247927513	2.321928095
SAM23877_RS18975	10.23720996	9.430452552	10.20945337	10.20701432	10.62205182
SAM23877_RS19005	11.77643303	11.0768156	11.24614677	11.48179943	13.63956682
SAM23877_RS19010	10.5028318	10.38154295	10.48381578	10.89330153	10.47876962
SAM23877_RS19015	14.05307739	13.09143539	13.30049556	13.28352249	13.46224663
SAM23877_RS19340	10.72024426	10.10852446	10.05934446	10.57080444	9.721099189
SAM23877_RS19365	10.40939094	10.95419631	10.71596199	10.22400167	11.60640521
SAM23877_RS19370	12.02410078	11.37937837	10.666224	9.938109326	8.194756854
SAM23877_RS19380	8.820178962	8.14974712	7.539158811	7.741466986	6.781359714
SAM23877_RS19385	8.483815777	8.252665432	7.727920455	7.569855608	5.754887502
SAM23877_RS19390	12.62159404	11.99612036	12.24822409	12.41969689	12.88531506
SAM23877_RS19405	10.4419067	10.10066234	10.64295422	9.961449694	9.262094845
SAM23877_RS19410	10.96000193	10.42626475	10.27612441	9.961449694	8.95419631
SAM23877_RS19415	10.74399286	9.985841937	10.45327063	10.31061278	9.647458426
SAM23877_RS19445	10.89860139	11.21431912	10.15481811	8.611024797	7.813781191
SAM23877_RS19450	10.09275714	8.915879379	8.768184325	8.731319031	9.209453366
SAM23877_RS19490	13.50469487	13.46976899	14.06634151	14.35720833	12.68079903
SAM23877_RS19495	12.88054013	13.44592013	13.47218312	13.08414401	12.14210706
SAM23877_RS19530	10.92035286	10.23720996	10.03617361	9.702172685	9.813781191
SAM23877_RS19695	10.76570049	10.41045135	10.67065625	10.84705735	10.80735492
SAM23877_RS19705	12.26590801	11.60964047	10.97513146	11.17305246	11.49984589
SAM23877_RS19710	15.30816124	14.53570064	14.74924094	15.69973511	16.14118912
SAM23877_RS19715	10.60825482	9.586839788	9.144658243	9.041659152	10.73386272
SAM23877_RS19720	10.97799537	11.35259523	11.29462075	10.61194694	8.487840034
SAM23877_RS19725	10.51175265	10.03479896	10.45738088	10.47370575	10.23242093
SAM23877_RS19730	10.86573327	10.80654962	11.4325419	10.64835758	11.55698496
SAM23877_RS19770	11.37883671	11.22641219	11.20028561	10.75405237	10.68650053
SAM23877_RS19780	9.764871591	9.987264012	9	10.5372184	10.74986943
SAM23877_RS19785	8.330916878	8.022367813	6.820178962	8.400879436	7.426264755
SAM23877_RS19805	8.361943774	7.936637939	6.392317423	7.055282436	8.483815777
SAM23877_RS19825	8.791162889	8.252665432	7.14974712	7.832890014	6.820178962
SAM23877_RS19850	9.645658432	9.25502857	8.727920455	7.366322214	7.022367813
SAM23877_RS19865	15.41018632	14.84239945	14.90143261	15.21352196	15.26711585
SAM23877_RS19900	11.46352437	11.32642949	11.29462075	11.7232343	11.55985504
